product_id,product_name,category,subcategory,brand,list_price_eur,unit_cost_eur,is_active,launch_date
P0001,Aster Small Appliances 001,Home & Kitchen,Small Appliances,Fenix,129.47,91.08,1,2022-04-30
P0002,Neris Small Appliances 002,Home & Kitchen,Small Appliances,Fenix,179.3,99.45,1,2023-02-28
P0003,Fenix Skincare 003,Beauty,Skincare,Vega,64.92,46.13,1,2023-08-31
P0004,Elara Outdoor 004,Sports,Outdoor,Vega,40.56,21.92,1,2023-05-31
P0005,Luma Sportswear 005,Sports,Sportswear,Duna,86.78,51.65,1,2022-06-30
P0006,Vega Home Textiles 006,Home & Kitchen,Home Textiles,Luma,97.9,59.01,0,2023-10-31
P0007,Luma Home Textiles 007,Home & Kitchen,Home Textiles,Vega,93.36,66.84,1,2020-05-31
P0008,Aster Fitness 008,Sports,Fitness,Aster,40.67,24.87,1,2022-12-31
P0009,Elara Haircare 009,Beauty,Haircare,Aster,64.81,33.94,1,2023-04-30
P0010,Aster Accessories 010,Electronics,Accessories,Vega,82.86,57.21,1,2021-04-30
P0011,Luma Cookware 011,Home & Kitchen,Cookware,Vega,134.64,77.42,1,2023-12-31
P0012,Vega Audio 012,Electronics,Audio,Luma,183.71,131.49,1,2023-03-31
P0013,Orion Snacks 013,Grocery,Snacks,Duna,9.52,6.61,1,2022-02-28
P0014,Aster Audio 014,Electronics,Audio,Fenix,244.25,164.96,0,2020-04-30
P0015,Fenix Outdoor 015,Sports,Outdoor,Boreal,300.45,170.62,1,2022-09-30
P0016,Elara Outdoor 016,Sports,Outdoor,Aster,95.35,47.85,1,2024-06-30
P0017,Cobalt Outdoor 017,Sports,Outdoor,Vega,189.14,122.68,1,2021-09-30
P0018,Cobalt Snacks 018,Grocery,Snacks,Elara,10.15,6.4,1,2020-01-31
P0019,Vega Audio 019,Electronics,Audio,Aster,373.78,201.12,1,2024-10-31
P0020,Neris Home Textiles 020,Home & Kitchen,Home Textiles,Luma,39.54,24.93,1,2024-04-30
P0021,Vega Coffee & Tea 021,Grocery,Coffee & Tea,Boreal,6.92,3.64,1,2023-01-31
P0022,Fenix Haircare 022,Beauty,Haircare,Luma,60.91,42.66,1,2020-10-31
P0023,Neris Accessories 023,Electronics,Accessories,Orion,75.01,47.09,1,2022-12-31
P0024,Fenix Fitness 024,Sports,Fitness,Neris,99.73,58.28,1,2024-08-31
P0025,Aster Fitness 025,Sports,Fitness,Duna,16.75,11.01,1,2024-03-31
P0026,Aster Coffee & Tea 026,Grocery,Coffee & Tea,Duna,26.37,16.4,1,2024-02-29
P0027,Cobalt Home Textiles 027,Home & Kitchen,Home Textiles,Luma,89.07,43.32,1,2021-10-31
P0028,Vega Audio 028,Electronics,Audio,Elara,337.85,193.76,1,2024-08-31
P0029,Cobalt Cookware 029,Home & Kitchen,Cookware,Duna,23.22,15.9,1,2020-03-31
P0030,Neris Cookware 030,Home & Kitchen,Cookware,Neris,66.38,47.1,1,2021-02-28
P0031,Boreal Outdoor 031,Sports,Outdoor,Elara,273.98,164.29,1,2024-03-31
P0032,Fenix Cookware 032,Home & Kitchen,Cookware,Vega,53.63,32.88,1,2024-04-30
P0033,Cobalt Fitness 033,Sports,Fitness,Luma,165.03,117.42,1,2020-08-31
P0034,Luma Haircare 034,Beauty,Haircare,Cobalt,28.11,18.35,1,2023-01-31
P0035,Cobalt Sportswear 035,Sports,Sportswear,Elara,26.09,14.91,1,2023-09-30
P0036,Aster Small Appliances 036,Home & Kitchen,Small Appliances,Fenix,115.78,81.66,1,2024-09-30
P0037,Fenix Fitness 037,Sports,Fitness,Aster,141.02,73.87,0,2021-06-30
P0038,Neris Skincare 038,Beauty,Skincare,Orion,68.91,47.3,1,2021-04-30
P0039,Orion Fitness 039,Sports,Fitness,Aster,17.66,9.23,1,2020-02-29
P0040,Luma Cookware 040,Home & Kitchen,Cookware,Duna,26.8,16.05,1,2020-10-31
P0041,Luma Skincare 041,Beauty,Skincare,Duna,88.59,61.1,1,2020-01-31
P0042,Boreal Fitness 042,Sports,Fitness,Luma,16.95,10.81,1,2023-07-31
P0043,Neris Coffee & Tea 043,Grocery,Coffee & Tea,Fenix,7.84,4.39,1,2020-09-30
P0044,Vega Haircare 044,Beauty,Haircare,Cobalt,38.78,21.01,1,2023-04-30
P0045,Boreal Small Appliances 045,Home & Kitchen,Small Appliances,Aster,61.37,31.47,1,2024-04-30
P0046,Elara Coffee & Tea 046,Grocery,Coffee & Tea,Fenix,6.36,3.67,1,2021-07-31
P0047,Neris Haircare 047,Beauty,Haircare,Aster,8.71,4.52,1,2022-02-28
P0048,Orion Sportswear 048,Sports,Sportswear,Neris,31.08,20.49,1,2020-03-31
P0049,Boreal Cookware 049,Home & Kitchen,Cookware,Cobalt,79.31,47.6,1,2023-01-31
P0050,Fenix Outdoor 050,Sports,Outdoor,Duna,188.62,115.92,1,2023-12-31
P0051,Fenix Skincare 051,Beauty,Skincare,Aster,41.05,23.71,1,2020-01-31
P0052,Duna Smartphones 052,Electronics,Smartphones,Luma,488.86,240.4,1,2022-02-28
P0053,Vega Coffee & Tea 053,Grocery,Coffee & Tea,Vega,9.55,5.57,1,2022-05-31
P0054,Luma Smartphones 054,Electronics,Smartphones,Luma,769.77,430.63,1,2020-01-31
P0055,Elara Fitness 055,Sports,Fitness,Cobalt,102,50.66,1,2021-12-31
P0056,Neris Fitness 056,Sports,Fitness,Luma,141.13,74.14,1,2023-10-31
P0057,Vega Cookware 057,Home & Kitchen,Cookware,Elara,37.96,22.25,1,2020-03-31
P0058,Aster Accessories 058,Electronics,Accessories,Boreal,38.36,18.46,1,2022-10-31
P0059,Fenix Small Appliances 059,Home & Kitchen,Small Appliances,Aster,211.41,129.1,1,2023-03-31
P0060,Boreal Coffee & Tea 060,Grocery,Coffee & Tea,Orion,10.73,6.98,1,2022-09-30
P0061,Neris Sportswear 061,Sports,Sportswear,Vega,20.85,14.84,1,2021-02-28
P0062,Luma Coffee & Tea 062,Grocery,Coffee & Tea,Vega,5.02,3.01,1,2021-06-30
P0063,Elara Smartphones 063,Electronics,Smartphones,Fenix,744.43,391.19,1,2021-02-28
P0064,Duna Cookware 064,Home & Kitchen,Cookware,Boreal,64.91,40.3,1,2023-05-31
P0065,Orion Smartphones 065,Electronics,Smartphones,Cobalt,580.68,305.75,1,2024-09-30
P0066,Duna Audio 066,Electronics,Audio,Fenix,183.64,129.1,1,2020-03-31
P0067,Elara Outdoor 067,Sports,Outdoor,Duna,168.79,114.63,1,2021-08-31
P0068,Fenix Snacks 068,Grocery,Snacks,Orion,13.33,9.16,1,2024-06-30
P0069,Aster Small Appliances 069,Home & Kitchen,Small Appliances,Boreal,80.06,49.76,1,2021-06-30
P0070,Orion Sportswear 070,Sports,Sportswear,Luma,81.86,42.32,0,2021-10-31
P0071,Duna Home Textiles 071,Home & Kitchen,Home Textiles,Boreal,106.71,73.7,1,2021-07-31
P0072,Boreal Small Appliances 072,Home & Kitchen,Small Appliances,Fenix,36.62,23.37,1,2024-06-30
P0073,Orion Coffee & Tea 073,Grocery,Coffee & Tea,Elara,8.05,5.42,1,2022-05-31
P0074,Duna Snacks 074,Grocery,Snacks,Duna,12.6,8.04,1,2022-12-31
P0075,Duna Coffee & Tea 075,Grocery,Coffee & Tea,Boreal,12.57,6.13,1,2024-11-30
P0076,Elara Coffee & Tea 076,Grocery,Coffee & Tea,Neris,8.18,4.8,1,2023-10-31
